Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Cross-reference (STRING)
Q8YHF2	PYRG_BRUME	reviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG BMEI0849	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	224914.BAWG_2820;
Q8YI21	ILVC_BRUME	reviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC BMEI0624	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	224914.BAWG_2600;
P64305	IXTPA_BRUME	reviewed	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	BMEI1772	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	224914.BAWG_0464;
Q8YHD8	ISPDF_BRUME	reviewed	Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT); 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)]	ispDF BMEI0863	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	224914.BAWG_2834;
Q8YDM4	FLIF_BRUME	reviewed	Flagellar M-ring protein	fliF BMEII0151/BMEII0152	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	bacterial-type flagellum-dependent cell motility [GO:0071973]	224914.BAWG_1325;
Q8YJ29	4HYPE_BRUME	reviewed	4-hydroxyproline epimerase (EC 5.1.1.8) (Hydroxyproline-2-epimerase) (BmHyPRE)	BMEI0257	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2931;
Q8YJ48	ACSA_BRUME	reviewed	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA BMEI0238	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	acetyl-CoA biosynthetic process from acetate [GO:0019427]	224914.BAWG_2914;
Q8YG65	RSH_BRUME	reviewed	GTP pyrophosphokinase rsh (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase)	rsh BMEI1296	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	guanosine tetraphosphate metabolic process [GO:0015969]	224914.BAWG_0917;
Q8YEX3	Q8YEX3_BRUME	unreviewed	Multifunctional fusion protein [Includes: Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)]	cysC cysN BMEI1754	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]	224914.BAWG_0480;
Q8YCX1	Q8YCX1_BRUME	unreviewed	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd BMEII0407	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	224914.BAWG_2156;
Q8YGS6	SYS_BRUME	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS BMEI1082	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]	224914.BAWG_1127;
D0B707	PCS_BRUME	reviewed	Phosphatidylcholine synthase (PC synthase) (PCS) (EC 2.7.8.24) (CDP-diglyceride-choline O-phosphatidyltransferase)	pcs BMEII0695 BAWG_1878	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	phospholipid biosynthetic process [GO:0008654]	224914.BAWG_1878;
Q8YED2	FPG_BRUME	reviewed	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg BMEI1946	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]	224914.BAWG_0297;
P65452	MURA_BRUME	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA BMEI1666	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	224914.BAWG_0563;
P65680	PDXA_BRUME	reviewed	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA BMEI1266	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	224914.BAWG_0944;
Q8YHF0	ENO_BRUME	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno BMEI0851	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	glycolytic process [GO:0006096]	224914.BAWG_2822;
P65948	QUEA_BRUME	reviewed	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA BMEI0889	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	queuosine biosynthetic process [GO:0008616]	224914.BAWG_2860;
Q8YEG8	RECR_BRUME	reviewed	Recombination protein RecR	recR BMEI1910	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	224914.BAWG_0330;
P65975	RECA_BRUME	reviewed	Protein RecA (Recombinase A)	recA BMEI0787	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	224914.BAWG_2759;
P65611	PYRB_BRUME	reviewed	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB BMEII0670	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]	224914.BAWG_1906;
Q8YFB1	PYRD_BRUME	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD BMEI1611	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	224914.BAWG_0614;
P52559	PURK_BRUME	reviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK BMEI0295	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' IMP biosynthetic process [GO:0006189]	224914.BAWG_2970;
Q8YGN1	PURL_BRUME	reviewed	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL BMEI1127	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' IMP biosynthetic process [GO:0006189]	224914.BAWG_1082;
Q8YHH4	PYRH_BRUME	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH BMEI0825	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' CTP biosynthetic process [GO:0044210]	224914.BAWG_2799;
Q8YHN3	RL16_BRUME	reviewed	50S ribosomal protein L16	rplP BMEI0764	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	translation [GO:0006412]	224914.BAWG_2736;
P66673	RNH_BRUME	reviewed	Ribonuclease HI (RNase HI) (EC 3.1.26.4)	rnhA BMEI1457	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	RNA catabolic process [GO:0006401]	224914.BAWG_0766;
Q8YHM4	RL18_BRUME	reviewed	50S ribosomal protein L18	rplR BMEI0773	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	translation [GO:0006412]	224914.BAWG_2745;
P0A4D9	RNH2_BRUME	reviewed	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB BMEI1542	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	RNA catabolic process [GO:0006401]	224914.BAWG_0683;
P61712	RISB2_BRUME	reviewed	6,7-dimethyl-8-ribityllumazine synthase 2 (DMRL synthase 2) (LS 2) (Lumazine synthase 2) (EC 2.5.1.78) (Type II lumazine synthase)	ribH2 BMEII0589	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	riboflavin biosynthetic process [GO:0009231]	224914.BAWG_1983;
Q8YHN0	RL14_BRUME	reviewed	50S ribosomal protein L14	rplN BMEI0767	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	translation [GO:0006412]	224914.BAWG_2739;
Q8YJI8	QUEC_BRUME	reviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC BMEI0095	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	queuosine biosynthetic process [GO:0008616]	224914.BAWG_0100;
P66664	RNC_BRUME	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc BMEI1287	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	mRNA processing [GO:0006397]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	224914.BAWG_0926;
Q8YHP9	RL10_BRUME	reviewed	50S ribosomal protein L10	rplJ BMEI0747	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	ribosome biogenesis [GO:0042254]; translation [GO:0006412]	224914.BAWG_2720;
Q8YGJ1	RL13_BRUME	reviewed	50S ribosomal protein L13	rplM BMEI1168	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	translation [GO:0006412]	224914.BAWG_1041;
P66078	RL19_BRUME	reviewed	50S ribosomal protein L19	rplS BMEI0156	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	translation [GO:0006412]	224914.BAWG_0040;
P66651	RIMM_BRUME	reviewed	Ribosome maturation factor RimM	rimM BMEI0148	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	224914.BAWG_0048;
Q8YHQ1	RL11_BRUME	reviewed	50S ribosomal protein L11	rplK BMEI0745	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	translation [GO:0006412]	224914.BAWG_2718;
P65654	PANB_BRUME	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB BMEI1592	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	pantothenate biosynthetic process [GO:0015940]	224914.BAWG_0632;
Q8YFK3	PDXH_BRUME	reviewed	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH BMEI1517	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	pyridoxine biosynthetic process [GO:0008615]	224914.BAWG_0708;
Q8YI24	PDXJ_BRUME	reviewed	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ BMEI0621	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	pyridoxine biosynthetic process [GO:0008615]	224914.BAWG_2597;
Q8YIY0	PGK_BRUME	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk BMEI0309	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	glycolytic process [GO:0006096]	224914.BAWG_2985;
P0A3S7	PAL_BRUME	reviewed	Peptidoglycan-associated lipoprotein (PAL) (16.5 kDa minor OMP) (16 kDa OMP) (Minor outer membrane protein Omp16) (Outer membrane lipoprotein Omp16)	pal omp16 BMEI0340	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]	224914.BAWG_3016;
Q8YIM6	PDHS_BRUME	reviewed	Cell-division control histidine kinase PdhS (EC 2.7.13.3)	pdhS BMEI0417	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of transcription, DNA-templated [GO:0006355]	224914.BAWG_2396;
Q8YGL0	NUOK_BRUME	reviewed	NADH-quinone oxidoreductase subunit K (EC 1.6.5.11) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	nuoK BMEI1148	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	ATP synthesis coupled electron transport [GO:0042773]	224914.BAWG_1061;
Q8YGH3	NUSB_BRUME	reviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB BMEI1186	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	DNA-templated transcription, termination [GO:0006353]; transcription antitermination [GO:0031564]	224914.BAWG_1023;
Q8YCN8	NIKD_BRUME	reviewed	Nickel import ATP-binding protein NikD (EC 3.6.3.24)	nikD BMEII0490	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2081;
P67193	PDRP_BRUME	reviewed	Putative pyruvate, phosphate dikinase regulatory protein (PPDK regulatory protein) (EC 2.7.11.32) (EC 2.7.4.27)	BMEI2060	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	protein dephosphorylation [GO:0006470]	224914.BAWG_0188;
P0A3N8	OMP10_BRUME	reviewed	Outer membrane lipoprotein omp10 (10 kDa OMP) (Minor outer membrane protein omp10)	omp10 BMEII0017	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1450;
Q7CNU3	OMP2A_BRUME	reviewed	Porin Omp2a	omp2a BMEI1306	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	ion transport [GO:0006811]	224914.BAWG_0906;
Q8YE41	PCKA_BRUME	reviewed	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA BMEI2037	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	gluconeogenesis [GO:0006094]	224914.BAWG_0210;
P65489	MUTL_BRUME	reviewed	DNA mismatch repair protein MutL	mutL BMEII1026	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	mismatch repair [GO:0006298]	224914.BAWG_1575;
P0A3Q2	MGSA_BRUME	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA BMEII0252	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	methylglyoxal biosynthetic process [GO:0019242]	224914.BAWG_2305;
Q8YBH3	MINC_BRUME	reviewed	Probable septum site-determining protein MinC	minC BMEII0927	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell morphogenesis [GO:0000902]; cell septum assembly [GO:0090529]; regulation of cell septum assembly [GO:1901891]	224914.BAWG_1664;
Q8YJ77	NADD_BRUME	reviewed	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD BMEI0209	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	NAD biosynthetic process [GO:0009435]	224914.BAWG_2882;
Q8YBV5	METAA_BRUME	reviewed	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)	metAA metA BMEII0781	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine [GO:0019281]	224914.BAWG_1805;
Q8YD40	METN_BRUME	reviewed	Methionine import ATP-binding protein MetN (EC 3.6.3.-)	metN BMEII0337	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	methionine transport [GO:0015821]	224914.BAWG_2225;
Q8YDX1	MGTC_BRUME	reviewed	Protein MgtC	mgtC BMEII0053	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	pathogenesis [GO:0009405]	224914.BAWG_1417;
Q8YEA2	MIAB_BRUME	reviewed	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB BMEI1976	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	tRNA modification [GO:0006400]	224914.BAWG_0269;
Q8YDB8	LEPA_BRUME	reviewed	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA BMEII0260	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	positive regulation of translation [GO:0045727]	224914.BAWG_2298;
Q8YIJ3	LEU1_BRUME	reviewed	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA BMEI0451	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	leucine biosynthetic process [GO:0009098]	224914.BAWG_2428;
Q8YI64	MURB_BRUME	reviewed	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB BMEI0581	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	224914.BAWG_2556;
Q8YI68	MURD_BRUME	reviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD BMEI0577	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	224914.BAWG_2552;
Q8YIR3	MASZ_BRUME	reviewed	Malate synthase G (EC 2.3.3.9)	glcB BMEI0380	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	224914.BAWG_3056;
P65361	MINE_BRUME	reviewed	Cell division topological specificity factor	minE BMEII0925	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of division septum assembly [GO:0032955]	224914.BAWG_1666;
Q8YI29	MIAA_BRUME	reviewed	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA BMEI0616	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	tRNA processing [GO:0008033]	224914.BAWG_2592;
Q8YHF9	MOAC_BRUME	reviewed	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	moaC BMEI0842	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	224914.BAWG_3071;
Q8YGY5	MOBA_BRUME	reviewed	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	mobA BMEI1020	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	224914.BAWG_1189;
